[7l----system---- ------memory-usage-----
     time     | used  buff  cach  free
16-09 18:13:38|2047M 3157M 1172M 9631M
16-09 18:13:48|2048M 3157M 1172M 9630M
16-09 18:13:58|2047M 3157M 1172M 9631M
16-09 18:14:08|2048M 3157M 1172M 9630M
16-09 18:14:18|2048M 3157M 1172M 9630M
16-09 18:14:28|2048M 3157M 1172M 9630M
16-09 18:14:38|2048M 3157M 1172M 9630M
16-09 18:14:48|2048M 3157M 1172M 9630M
16-09 18:14:58|2048M 3157M 1172M 9630M
16-09 18:15:08|2048M 3157M 1172M 9630M
16-09 18:15:18|2048M 3157M 1172M 9630M
16-09 18:15:28|2048M 3157M 1172M 9630M
16-09 18:15:38|2048M 3157M 1172M 9630M
16-09 18:15:48|2048M 3157M 1172M 9630M
16-09 18:15:58|2048M 3157M 1172M 9630M
16-09 18:16:08|2048M 3157M 1172M 9630M
16-09 18:16:18|2048M 3157M 1172M 9630M
16-09 18:16:28|2049M 3157M 1172M 9629M
16-09 18:16:38|2049M 3157M 1172M 9629M
16-09 18:16:48|2049M 3157M 1172M 9629M
16-09 18:16:58|2049M 3157M 1172M 9629M
16-09 18:17:08|2049M 3157M 1172M 9629M
16-09 18:17:18|2049M 3157M 1172M 9629M
16-09 18:17:28|2049M 3157M 1172M 9629M
16-09 18:17:38|2049M 3157M 1172M 9629M
16-09 18:17:48|2049M 3157M 1172M 9629M
16-09 18:17:58|2049M 3157M 1172M 9629M
16-09 18:18:08|2049M 3157M 1172M 9629M
16-09 18:18:18|2049M 3157M 1172M 9629M
16-09 18:18:28|2049M 3157M 1172M 9629M
16-09 18:18:38|2049M 3157M 1172M 9629M
16-09 18:18:48|2049M 3157M 1172M 9629M
16-09 18:18:58|2049M 3157M 1172M 9629M
16-09 18:19:08|2049M 3157M 1172M 9629M
16-09 18:19:18|2049M 3157M 1172M 9629M
16-09 18:19:28|2049M 3157M 1172M 9629M
16-09 18:19:38|2049M 3157M 1172M 9629M
16-09 18:19:48|2049M 3157M 1172M 9629M
16-09 18:19:58|2049M 3157M 1172M 9629M
16-09 18:20:08|2049M 3157M 1172M 9629M
16-09 18:20:18|2049M 3157M 1172M 9629M
16-09 18:20:28|2004M 3157M 1172M 9673M
16-09 18:20:38|2004M 3157M 1172M 9673M
16-09 18:20:48|2004M 3157M 1172M 9673M
16-09 18:20:58|2004M 3157M 1172M 9673M
16-09 18:21:08|2004M 3157M 1172M 9673M
16-09 18:21:18|2004M 3157M 1172M 9673M
16-09 18:21:28|2024M 3157M 1172M 9654M
16-09 18:21:38|2039M 3157M 1172M 9639M
16-09 18:21:48|2039M 3157M 1172M 9639M
16-09 18:21:58|2039M 3157M 1172M 9639M
16-09 18:22:08|2039M 3157M 1172M 9638M
16-09 18:22:18|2039M 3157M 1172M 9638M
16-09 18:22:28|2039M 3157M 1172M 9638M
16-09 18:22:38|2039M 3157M 1172M 9638M
16-09 18:22:48|2039M 3157M 1172M 9638M
16-09 18:22:58|2039M 3157M 1172M 9638M
16-09 18:23:08|2039M 3157M 1172M 9638M
16-09 18:23:18|2039M 3157M 1172M 9638M
16-09 18:23:28|2039M 3157M 1172M 9638M
16-09 18:23:38|2039M 3157M 1172M 9638M
16-09 18:23:48|2039M 3157M 1172M 9638M
16-09 18:23:58|2039M 3157M 1172M 9638M
16-09 18:24:08|2039M 3157M 1172M 9638M
16-09 18:24:18|2039M 3157M 1172M 9638M
16-09 18:24:28|2039M 3157M 1172M 9638M
16-09 18:24:38|2040M 3157M 1172M 9638M
16-09 18:24:48|2040M 3157M 1172M 9638M
16-09 18:24:58|2039M 3157M 1172M 9638M
16-09 18:25:08|2039M 3157M 1172M 9638M
16-09 18:25:18|2040M 3157M 1172M 9638M
16-09 18:25:28|2040M 3157M 1172M 9638M
16-09 18:25:38|2039M 3157M 1172M 9638M
16-09 18:25:48|2039M 3157M 1172M 9638M
16-09 18:25:58|2039M 3157M 1172M 9638M
16-09 18:26:08|2040M 3157M 1172M 9638M
16-09 18:26:18|2039M 3157M 1172M 9638M
16-09 18:26:28|2040M 3157M 1172M 9638M
16-09 18:26:38|2039M 3157M 1172M 9638M
16-09 18:26:48|2039M 3157M 1172M 9638M
16-09 18:26:58|2039M 3157M 1172M 9638M
16-09 18:27:08|2039M 3157M 1172M 9638M
16-09 18:27:18|2039M 3158M 1172M 9638M
16-09 18:27:28|2039M 3158M 1172M 9638M
16-09 18:27:38|2040M 3158M 1172M 9638M
16-09 18:27:48|2040M 3158M 1172M 9637M
16-09 18:27:58|2040M 3158M 1172M 9637M
16-09 18:28:08|2040M 3158M 1172M 9637M
16-09 18:28:18|2040M 3158M 1172M 9637M
16-09 18:28:28|2040M 3158M 1172M 9637M
16-09 18:28:38|2040M 3158M 1172M 9637M
16-09 18:28:48|2040M 3158M 1172M 9637M
16-09 18:28:58|2040M 3158M 1172M 9637M
16-09 18:29:08|2040M 3158M 1172M 9637M
16-09 18:29:18|2040M 3158M 1172M 9637M
16-09 18:29:28|2040M 3158M 1172M 9637M
16-09 18:29:38|2040M 3158M 1172M 9637M
16-09 18:29:48|2040M 3158M 1172M 9637M
16-09 18:29:58|2040M 3158M 1172M 9638M
16-09 18:30:08|2040M 3158M 1172M 9638M
16-09 18:30:18|2040M 3158M 1172M 9638M
16-09 18:30:28|2040M 3158M 1172M 9638M
16-09 18:30:38|2040M 3158M 1172M 9637M
16-09 18:30:48|2040M 3158M 1172M 9638M
16-09 18:30:58|2040M 3158M 1172M 9637M
16-09 18:31:08|2040M 3158M 1172M 9637M
16-09 18:31:18|2040M 3158M 1172M 9637M
16-09 18:31:28|2040M 3158M 1172M 9637M
16-09 18:31:38|2040M 3158M 1172M 9637M
16-09 18:31:48|2010M 3158M 1172M 9667M
16-09 18:31:58|2010M 3158M 1172M 9667M
16-09 18:32:08|2010M 3158M 1172M 9667M
16-09 18:32:18|2010M 3158M 1172M 9667M
16-09 18:32:28|2010M 3158M 1172M 9667M
16-09 18:32:38|2015M 3158M 1172M 9662M
16-09 18:32:48|2035M 3158M 1172M 9642M
16-09 18:32:58|2054M 3158M 1172M 9623M
16-09 18:33:08|2054M 3158M 1172M 9623M
16-09 18:33:18|2054M 3158M 1172M 9623M
16-09 18:33:28|2054M 3158M 1172M 9623M
16-09 18:33:38|2054M 3158M 1172M 9623M
16-09 18:33:48|2054M 3158M 1172M 9622M
16-09 18:33:58|2054M 3158M 1172M 9622M
16-09 18:34:08|2054M 3158M 1172M 9623M
16-09 18:34:18|2054M 3158M 1172M 9622M
16-09 18:34:28|2054M 3158M 1172M 9622M
16-09 18:34:38|2054M 3158M 1172M 9622M
16-09 18:34:48|2055M 3158M 1172M 9622M
16-09 18:34:58|2055M 3158M 1172M 9622M
16-09 18:35:08|2055M 3158M 1172M 9622M
16-09 18:35:18|2055M 3158M 1172M 9622M
16-09 18:35:28|2055M 3158M 1172M 9622M
16-09 18:35:38|2055M 3158M 1172M 9622M
16-09 18:35:48|2055M 3158M 1172M 9622M
16-09 18:35:58|2055M 3158M 1172M 9622M
16-09 18:36:08|2055M 3158M 1172M 9622M
16-09 18:36:18|2055M 3158M 1172M 9622M
16-09 18:36:28|2055M 3158M 1172M 9622M
16-09 18:36:38|2055M 3158M 1172M 9622M
16-09 18:36:48|2055M 3158M 1172M 9622M
16-09 18:36:58|2055M 3158M 1172M 9622M
16-09 18:37:08|2055M 3158M 1172M 9622M
16-09 18:37:18|2055M 3158M 1172M 9622M
16-09 18:37:28|2055M 3158M 1172M 9622M
16-09 18:37:38|2055M 3158M 1172M 9622M
16-09 18:37:48|2055M 3158M 1172M 9621M
16-09 18:37:58|2055M 3158M 1172M 9621M
16-09 18:38:08|2055M 3158M 1172M 9621M
16-09 18:38:18|2055M 3158M 1172M 9621M
16-09 18:38:28|2055M 3158M 1172M 9621M
16-09 18:38:38|2055M 3158M 1172M 9621M
16-09 18:38:48|2055M 3158M 1172M 9621M
16-09 18:38:58|2055M 3158M 1172M 9621M
16-09 18:39:08|2056M 3158M 1172M 9621M
16-09 18:39:18|2056M 3158M 1172M 9621M
16-09 18:39:28|2056M 3158M 1172M 9621M
16-09 18:39:38|2056M 3158M 1172M 9621M
16-09 18:39:48|2056M 3158M 1172M 9621M
16-09 18:39:58|2056M 3158M 1172M 9621M
16-09 18:40:08|2057M 3158M 1172M 9620M
16-09 18:40:18|2057M 3158M 1172M 9619M
16-09 18:40:28|2057M 3158M 1172M 9619M
16-09 18:40:38|2057M 3158M 1172M 9619M
16-09 18:40:48|2057M 3158M 1172M 9619M
16-09 18:40:58|2057M 3158M 1172M 9619M
16-09 18:41:08|2058M 3158M 1172M 9619M
16-09 18:41:18|2058M 3158M 1172M 9619M
16-09 18:41:28|2058M 3158M 1172M 9619M
16-09 18:41:38|2058M 3158M 1172M 9619M
16-09 18:41:48|2058M 3158M 1172M 9619M
16-09 18:41:58|2058M 3158M 1172M 9619M
16-09 18:42:08|2058M 3158M 1172M 9619M
16-09 18:42:18|2058M 3158M 1172M 9618M
16-09 18:42:28|2058M 3158M 1172M 9619M
16-09 18:42:38|2058M 3158M 1172M 9619M
16-09 18:42:48|2058M 3158M 1172M 9619M
16-09 18:42:58|2240M 3158M 1172M 9436M
16-09 18:43:08|2014M 3158M 1172M 9662M
16-09 18:43:18|2014M 3158M 1172M 9662M
16-09 18:43:28|2024M 3158M 1172M 9652M
16-09 18:43:38|2009M 3158M 1172M 9667M
16-09 18:43:48|2009M 3158M 1172M 9667M
16-09 18:43:58|2020M 3158M 1172M 9656M
16-09 18:44:08|2059M 3158M 1172M 9617M
16-09 18:44:18|2059M 3159M 1172M 9617M
16-09 18:44:28|2059M 3159M 1172M 9617M
16-09 18:44:38|2059M 3159M 1172M 9617M
16-09 18:44:48|2059M 3159M 1172M 9617M
16-09 18:44:58|2059M 3159M 1172M 9617M
16-09 18:45:08|2059M 3159M 1172M 9617M
16-09 18:45:18|2059M 3159M 1172M 9617M
16-09 18:45:28|2059M 3159M 1172M 9617M
16-09 18:45:38|2059M 3159M 1172M 9617M
16-09 18:45:48|2059M 3159M 1172M 9617M
16-09 18:45:58|2060M 3159M 1172M 9616M
16-09 18:46:08|2059M 3159M 1172M 9617M
16-09 18:46:18|2059M 3159M 1172M 9617M
16-09 18:46:28|2059M 3159M 1172M 9617M
16-09 18:46:38|2059M 3159M 1172M 9617M
16-09 18:46:48|2060M 3159M 1172M 9616M
16-09 18:46:58|2059M 3159M 1172M 9617M
16-09 18:47:08|2059M 3159M 1172M 9617M
16-09 18:47:18|2057M 3159M 1172M 9619M
16-09 18:47:28|2057M 3159M 1172M 9619M
16-09 18:47:38|2057M 3159M 1172M 9618M
16-09 18:47:48|2058M 3159M 1172M 9618M
16-09 18:47:58|2058M 3159M 1172M 9618M
16-09 18:48:08|2058M 3159M 1172M 9618M
16-09 18:48:18|2058M 3159M 1172M 9618M
16-09 18:48:28|2058M 3159M 1172M 9618M
16-09 18:48:38|2058M 3159M 1172M 9618M
16-09 18:48:48|2058M 3159M 1172M 9618M
16-09 18:48:58|2058M 3159M 1172M 9618M
16-09 18:49:08|2058M 3159M 1172M 9618M
16-09 18:49:18|2058M 3159M 1172M 9618M
16-09 18:49:28|2058M 3159M 1172M 9618M
16-09 18:49:38|2058M 3159M 1172M 9617M
16-09 18:49:48|2058M 3159M 1172M 9617M
16-09 18:49:58|2058M 3159M 1172M 9618M
16-09 18:50:08|2058M 3159M 1172M 9617M
16-09 18:50:18|2059M 3159M 1172M 9617M
16-09 18:50:28|2059M 3159M 1172M 9617M
16-09 18:50:38|2059M 3159M 1172M 9617M
16-09 18:50:48|2058M 3159M 1172M 9617M
16-09 18:50:58|2058M 3159M 1172M 9617M
16-09 18:51:08|2059M 3159M 1172M 9617M
16-09 18:51:18|2059M 3159M 1172M 9617M
16-09 18:51:28|2059M 3159M 1172M 9617M
16-09 18:51:38|2059M 3159M 1172M 9617M
16-09 18:51:48|2059M 3159M 1172M 9617M
